clinic,satisfaction
A,128
A,119
A,126
A,125
A,111
A,127
A,123
A,119
A,119
A,125
A,106
A,124
A,131
A,131
A,117
A,105
A,129
A,130
A,131
A,119
A,98
A,120
A,125
A,126
A,130
A,127
A,133
A,135
A,125
A,135
A,130
A,122
A,135
A,116
A,126
A,129
A,133
A,126
A,102
A,131
A,128
A,128
A,130
A,116
A,121
A,121
A,131
A,135
A,127
A,125
A,133
B,132
B,121
B,79
B,127
B,133
B,127
B,121
B,127
B,130
B,111
B,117
B,101
B,111
B,109
B,131
B,129
B,126
B,124
B,126
B,97
B,104
B,121
B,114
B,95
B,128
B,115
B,92
B,126
B,107
B,108
B,125
B,130
B,121
B,124
B,112
B,131
B,118
B,109
B,116
B,112
B,110
B,117
B,118
B,120
B,113
B,114
B,107
B,119
B,124
B,98
B,114
C,131
C,109
C,127
C,124
C,135
C,131
C,131
C,126
C,132
C,128
C,129
C,128
C,114
C,120
C,120
C,135
C,137
C,124
C,129
C,125
C,135
C,122
C,117
C,126
C,130
C,131
C,132
C,125
C,135
C,130
C,135
C,135
C,135
C,131
C,131
C,126
C,132
C,133
C,135
C,132
C,131
C,132
C,126
C,135
C,135
C,135
C,134
C,127
C,131
C,131
C,131