species,family,length,bite
Galidia elegans,Eupleuridae,7.03,35.5
Herpestes edwardsii,Herpestidae,7.8,46.2
Eupleres goudotii,Eupleuridae,8.81,28.6
Conepatus semistriatus,Mustelidae,9.57,60.3
Genetta tigrina,Viverridae,9.58,73
Mungos mungo,Herpestidae,10.3,34
Paradoxurus hermaphroditis,Viverridae,11.16,80.8
Nandinia binotata,Nandiniidae,11.54,72.1
Vulpes vulpes,Canidae,11.56,154
Paguma larvata,Viverridae,11.56,140.4
Mephitis mephitis,Mustelidae,11.81,73.3
Genetta genetta,Viverridae,11.97,81.7
Ichneumia albicauda,Herpestidae,12.33,65.8
Mellivora capensis,Mustelidae,14.18,216.9
Cryptoprocta ferox,Eupleuridae,14.56,145
Taxidae taxus,Mustelidae,15.47,221.6
Otocyon megalotis,Canidae,16.12,76.2
Arctictis binturong,Viverridae,16.43,249.2
Urocyon cinereoargenteus,Canidae,17.49,115
Felis concolor,Felidae,18.14,472
Lynx rufus,Felidae,18.21,98
Proteles cristatus,Hyaenidae,18.38,136
Felis leo,Felidae,19.78,1314.7
Felis pardus,Felidae,21.21,621.1
Canis latrans,Canidae,25,224
Hyaena hyaena,Hyaenidae,26.61,526
Canis lupus,Canidae,27.9,543
Crocuta crocuta,Hyaenidae,28.7,669
Felis tigris,Felidae,29.2,1472.1
Ursus americanus,Ursidae,29.82,541
Ursus thibetianus,Ursidae,31.76,312
Ursus arctos,Ursidae,34.2,751