crabType,bodyTemperature
female,1.9
female,1.6
female,1.4
female,1.1
female,1.6
female,1.8
female,1.9
female,1.7
female,1.5
female,1.8
female,1.7
female,1.7
female,1.8
female,1.7
female,1.8
female,2
female,1.8
female,1.7
female,1.6
female,1.6
female,1.5
intact male,1.9
intact male,1.2
intact male,1
intact male,0.9
intact male,1.4
intact male,1
intact male,1.3
intact male,1.4
intact male,1.1
intact male,1
intact male,1.4
intact male,1.2
intact male,1.4
intact male,1.4
intact male,1.5
intact male,1.5
intact male,1.1
intact male,1.4
intact male,1.3
intact male,1.3
intact male,1.3
male minor removed,1.2
male minor removed,1
male minor removed,0.9
male minor removed,0.8
male minor removed,1.2
male minor removed,0.9
male minor removed,1.1
male minor removed,1.1
male minor removed,1.3
male minor removed,1.3
male minor removed,1.3
male minor removed,1.1
male minor removed,1.4
male minor removed,1.5
male minor removed,1.4
male minor removed,1.4
male minor removed,1.2
male minor removed,1.4
male minor removed,1.3
male minor removed,1.2
male minor removed,1.4
male major removed,1.2
male major removed,0.9
male major removed,1.4
male major removed,1.2
male major removed,1.2
male major removed,1.6
male major removed,1.9
male major removed,1.4
male major removed,1.4
male major removed,1.4
male major removed,1.6
male major removed,1.4
male major removed,1.7
male major removed,1.3
male major removed,1.5
male major removed,1.2
male major removed,1.3
male major removed,1.6
male major removed,1.5
male major removed,1.5
male major removed,1.5